LADO;NFC;QR
ESTE;856240761;01100107401
ESTE;865688425;01100107402
ESTE;858477177;01100107501
ESTE;715829668;01100107502
ESTE;596267035;01100107701
ESTE;600178971;01100107702
ESTE;960338138;01100107801
ESTE;617887285;01100107802
ESTE;699918532;01100108001
ESTE;822457064;01100108002
ESTE;295066375;01100108101
ESTE;285941255;01100108102
ESTE;824528104;01100108201
ESTE;829146856;01100108202
ESTE;502832598;01100108301
ESTE;286676743;01100108302
ESTE;758435707;01100108401
ESTE;762719627;01100108402
ESTE;719832996;01100108501
ESTE;717772309;01100108502
ESTE;842849544;01100108601
ESTE;842008616;01100108602
ESTE;431454054;01100108701
ESTE;429327478;01100108702
ESTE;592039061;01100108801
ESTE;427901814;01100108802
ESTE;717201685;01100108901
ESTE;720809493;01100108902
ESTE;701130709;01100109001
ESTE;692507589;01100109002
ESTE;710534149;01100109101
ESTE;708169237;01100109102
ESTE;710848021;01100109201
ESTE;699629557;01100109202
ESTE;493053894;01100109301
ESTE;498503382;01100109302
ESTE;499482294;01100109401
ESTE;491534550;01100109402
ESTE;717399317;01100109501
ESTE;297809671;01100109502
ESTE;461325305;01100109601
ESTE;409487188;01100109602
ESTE;847944456;01100109701
ESTE;847322904;01100109702
ESTE;696297290;01100109801
ESTE;692526426;01100109802
ESTE;459682809;01100109901
ESTE;457543145;01100109902
ESTE;953955144;01100110001
ESTE;612842603;01100110002
ESTE;179145367;01100200101
ESTE;177602967;01100200102
ESTE;178809991;01100200103
ESTE;169952391;01100200201
ESTE;177318551;01100200202
ESTE;858762041;01100200301
ESTE;870262329;01100200302
ESTE;864637753;01100200401
ESTE;867615801;01100200402
ESTE;603974389;01100200501
ESTE;971076090;01100200502
ESTE;720019733;01100200601
ESTE;279248119;01100200602
ESTE;688927989;01100200801
ESTE;692927477;01100200802
ESTE;285713671;01100200901
ESTE;284883191;01100200902
ESTE;593295013;01100201001
ESTE;602420133;01100201002
ESTE;688978762;01100201101
ESTE;689164890;01100201102
ESTE;692084058;01100201201
ESTE;689631306;01100201202
ESTE;178604951;01100201301
ESTE;184330647;01100201302
ESTE;288275463;01100201401
ESTE;297543175;01100201402
ESTE;168638855;01100201501
ESTE;183275415;01100201502
ESTE;437813688;01100201601
ESTE;441551800;01100201602
